account_id,device_id,payment_fingerprint,banned
P0001,DEV265092,PAY191061,false
P0002,DEV389340,PAY917546,false
P0003,DEV518836,PAY470281,false
P0004,DEV802191,PAY514337,false
P0005,DEV525146,PAY714549,false
P0006,DEV310040,PAY642892,false
P0007,DEV116112,PAY872722,false
P0008,DEV837801,PAY171950,false
P0009,DEV194545,PAY676289,false
P0010,DEV398313,PAY861411,false
P0011,DEV970071,PAY686273,false
P0012,DEV711248,PAY465004,false
P0013,DEV464354,PAY955129,false
P0014,DEV389939,PAY337288,false
P0015,DEV735818,PAY303974,false
P0016,DEV576849,PAY523579,false
P0017,DEV702833,PAY104877,false
P0018,DEV373791,PAY283537,false
P0019,DEV526911,PAY630829,false
P0020,DEV211636,PAY685766,false
P0021,DEV175902,PAY627611,false
P0022,DEV408545,PAY456480,false
P0023,DEV222692,PAY941945,false
P0024,DEV638220,PAY370211,false
P0025,DEV664032,PAY952646,false
P0026,DEV931928,PAY702819,false
P0027,DEV362292,PAY827912,false
P0028,DEV564276,PAY495397,false
P0029,DEV690525,PAY607122,false
P0030,DEV907369,PAY355090,false
P0031,DEV894268,PAY456160,false
P0032,DEV913274,PAY581137,false
P0033,DEV814703,PAY583100,false
P0034,DEV715332,PAY128679,false
P0035,DEV605382,PAY221916,false
P0036,DEV370343,PAY170835,false
P0037,DEV501261,PAY764442,false
P0038,DEV926965,PAY331087,false
P0039,DEV809794,PAY835236,false
P0040,DEV341099,PAY939030,false
P0041,DEV431067,PAY532459,false
P0042,DEV470248,PAY641593,false
P0043,DEV661671,PAY110195,false
P0044,DEV834861,PAY972600,false
P0045,DEV376142,PAY360316,false
P0046,DEV401244,PAY197527,false
P0047,DEV518309,PAY806423,false
P0048,DEV885161,PAY960959,false
P0049,DEV458605,PAY179721,false
P0050,DEV681489,PAY287155,false
P0051,DEV599704,PAY429119,false
P0052,DEV470711,PAY329183,false
P0053,DEV701581,PAY382146,false
P0054,DEV291663,PAY882401,false
P0055,DEV816289,PAY299405,false
P0056,DEV623238,PAY872918,false
P0057,DEV309365,PAY346269,false
P0058,DEV871153,PAY353814,false
P0059,DEV378297,PAY316823,false
P0060,DEV340341,PAY312616,false
P0061,DEV975498,PAY361824,false
P0062,DEV976960,PAY748645,false
P0063,DEV473321,PAY263573,false
P0064,DEV916776,PAY211871,false
P0065,DEV225701,PAY182300,false
P0066,DEV808640,PAY795650,false
P0067,DEV616596,PAY743644,false
P0068,DEV106945,PAY901368,false
P0069,DEV998723,PAY667776,false
P0070,DEV144316,PAY989203,false
P0071,DEV605719,PAY489227,false
P0072,DEV750817,PAY430738,false
P0073,DEV616256,PAY702427,false
P0074,DEV388078,PAY614646,false
P0075,DEV291755,PAY901387,false
P0076,DEV635962,PAY393880,false
P0077,DEV517206,PAY332881,false
P0078,DEV886609,PAY704677,false
P0079,DEV234475,PAY156778,false
P0080,DEV651273,PAY938095,false
PBANNED001,DEV543732,PAY601554,true
PALT001,DEV543732,PAY601554,false
PBANNED002,DEV667036,PAY134144,true
PALT002,DEV667036,PAY134144,false
PBANNED003,DEV626883,PAY464158,true
PALT003,DEV626883,PAY464158,false
