match_id,player_id,result,session_length_min,reaction_time_ms,damage_per_hit,account_age_days,rank_mmr
MP0001_0,P0001,loss,23,151,22,684,1085
MP0001_1,P0001,win,42,242,17,684,2009
MP0001_2,P0001,win,13,202,21,684,1276
MP0001_3,P0001,loss,43,212,21,684,2130
MP0001_4,P0001,loss,22,237,29,684,2006
MP0001_5,P0001,loss,8,183,39,684,1126
MP0001_6,P0001,win,25,237,19,684,1240
MP0001_7,P0001,win,13,245,27,684,998
MP0001_8,P0001,loss,24,193,40,684,888
MP0001_9,P0001,win,15,241,27,684,961
MP0001_10,P0001,win,31,218,33,684,1193
MP0001_11,P0001,win,22,238,39,684,1392
MP0002_0,P0002,win,25,289,29,111,2101
MP0002_1,P0002,win,31,285,26,111,1229
MP0002_2,P0002,win,12,264,34,111,2100
MP0002_3,P0002,loss,23,200,20,111,1746
MP0002_4,P0002,win,43,227,22,111,1464
MP0002_5,P0002,loss,11,286,22,111,865
MP0002_6,P0002,win,25,282,17,111,1232
MP0002_7,P0002,loss,28,295,21,111,2142
MP0002_8,P0002,win,37,242,19,111,1342
MP0002_9,P0002,win,43,196,32,111,1338
MP0002_10,P0002,loss,45,274,27,111,1541
MP0002_11,P0002,loss,16,207,31,111,1810
MP0003_0,P0003,win,18,242,40,123,2193
MP0003_1,P0003,loss,32,186,27,123,2020
MP0003_2,P0003,loss,43,191,15,123,2193
MP0003_3,P0003,win,42,224,39,123,1346
MP0003_4,P0003,loss,15,230,24,123,1690
MP0003_5,P0003,win,24,152,31,123,1165
MP0003_6,P0003,loss,27,196,35,123,1839
MP0003_7,P0003,win,31,209,39,123,1130
MP0003_8,P0003,loss,41,201,15,123,2026
MP0003_9,P0003,win,15,173,26,123,1429
MP0003_10,P0003,win,44,162,17,123,975
MP0003_11,P0003,win,12,225,39,123,1890
MP0004_0,P0004,loss,43,168,20,814,1342
MP0004_1,P0004,loss,35,219,21,814,1904
MP0004_2,P0004,loss,20,248,37,814,1438
MP0004_3,P0004,loss,31,203,29,814,1859
MP0004_4,P0004,win,22,209,17,814,1492
MP0004_5,P0004,loss,22,154,33,814,1251
MP0004_6,P0004,win,11,152,22,814,938
MP0004_7,P0004,win,29,267,17,814,1852
MP0004_8,P0004,win,39,182,21,814,1904
MP0004_9,P0004,loss,44,168,33,814,1768
MP0004_10,P0004,loss,34,183,21,814,993
MP0004_11,P0004,loss,30,164,28,814,1641
MP0005_0,P0005,loss,14,219,16,508,1624
MP0005_1,P0005,win,14,226,22,508,1192
MP0005_2,P0005,loss,16,157,28,508,1175
MP0005_3,P0005,win,12,168,29,508,1927
MP0005_4,P0005,win,42,145,15,508,991
MP0005_5,P0005,loss,23,251,20,508,1632
MP0005_6,P0005,win,33,195,16,508,1137
MP0005_7,P0005,win,32,181,23,508,1731
MP0005_8,P0005,win,43,169,36,508,1796
MP0005_9,P0005,win,21,152,16,508,1986
MP0005_10,P0005,loss,28,227,16,508,902
MP0005_11,P0005,win,41,207,20,508,916
MP0006_0,P0006,win,12,248,36,550,1281
MP0006_1,P0006,win,44,191,22,550,1985
MP0006_2,P0006,win,13,216,28,550,2146
MP0006_3,P0006,loss,28,214,23,550,1218
MP0006_4,P0006,loss,23,225,23,550,1610
MP0006_5,P0006,loss,27,156,29,550,1447
MP0006_6,P0006,loss,12,258,15,550,1738
MP0006_7,P0006,loss,14,219,17,550,1901
MP0006_8,P0006,loss,16,167,26,550,940
MP0006_9,P0006,win,26,252,20,550,1697
MP0006_10,P0006,loss,27,246,34,550,2139
MP0006_11,P0006,win,43,207,24,550,2158
MP0007_0,P0007,win,14,187,38,136,1933
MP0007_1,P0007,win,21,173,37,136,1502
MP0007_2,P0007,loss,24,180,31,136,1800
MP0007_3,P0007,loss,11,186,17,136,2099
MP0007_4,P0007,loss,10,208,15,136,1483
MP0007_5,P0007,win,24,252,20,136,1704
MP0007_6,P0007,loss,43,224,15,136,1029
MP0007_7,P0007,loss,17,163,32,136,873
MP0007_8,P0007,win,43,260,19,136,1680
MP0007_9,P0007,win,31,170,40,136,881
MP0007_10,P0007,win,23,269,36,136,1010
MP0007_11,P0007,loss,34,199,34,136,1116
MP0008_0,P0008,loss,34,263,15,272,1167
MP0008_1,P0008,loss,34,255,40,272,2171
MP0008_2,P0008,loss,23,271,23,272,1126
MP0008_3,P0008,loss,32,261,16,272,1763
MP0008_4,P0008,win,37,189,26,272,1425
MP0008_5,P0008,loss,22,266,22,272,848
MP0008_6,P0008,win,29,245,23,272,942
MP0008_7,P0008,win,40,259,27,272,2191
MP0008_8,P0008,loss,9,268,18,272,1334
MP0008_9,P0008,loss,24,183,16,272,1022
MP0008_10,P0008,win,28,237,28,272,2041
MP0008_11,P0008,win,44,226,21,272,1321
MP0009_0,P0009,loss,42,231,36,75,2173
MP0009_1,P0009,win,12,256,36,75,1476
MP0009_2,P0009,win,15,310,38,75,1415
MP0009_3,P0009,win,34,295,25,75,1624
MP0009_4,P0009,win,16,320,21,75,1661
MP0009_5,P0009,loss,19,316,34,75,1965
MP0009_6,P0009,win,8,269,24,75,1387
MP0009_7,P0009,win,45,257,34,75,2140
MP0009_8,P0009,win,36,272,36,75,1237
MP0009_9,P0009,win,18,296,36,75,973
MP0009_10,P0009,loss,29,267,17,75,1281
MP0009_11,P0009,win,20,317,19,75,850
MP0010_0,P0010,loss,12,242,29,77,1648
MP0010_1,P0010,loss,20,295,37,77,1586
MP0010_2,P0010,win,17,245,35,77,811
MP0010_3,P0010,loss,14,296,39,77,1670
MP0010_4,P0010,win,41,210,29,77,902
MP0010_5,P0010,win,15,253,29,77,1073
MP0010_6,P0010,win,41,284,32,77,2019
MP0010_7,P0010,loss,36,222,34,77,1833
MP0010_8,P0010,loss,43,236,29,77,1125
MP0010_9,P0010,loss,36,277,23,77,1306
MP0010_10,P0010,loss,41,289,30,77,2083
MP0010_11,P0010,win,12,212,37,77,1385
MP0011_0,P0011,win,42,231,17,270,1083
MP0011_1,P0011,win,17,208,37,270,1238
MP0011_2,P0011,win,29,197,32,270,1754
MP0011_3,P0011,win,34,242,27,270,1996
MP0011_4,P0011,win,44,278,27,270,1776
MP0011_5,P0011,loss,27,189,39,270,1598
MP0011_6,P0011,loss,34,298,32,270,1918
MP0011_7,P0011,loss,22,291,30,270,1249
MP0011_8,P0011,win,9,223,27,270,1488
MP0011_9,P0011,loss,33,274,38,270,1138
MP0011_10,P0011,win,16,296,34,270,1893
MP0011_11,P0011,loss,45,192,33,270,2157
MP0012_0,P0012,win,37,223,20,57,902
MP0012_1,P0012,win,21,174,29,57,1469
MP0012_2,P0012,loss,32,184,23,57,1663
MP0012_3,P0012,loss,38,173,15,57,1904
MP0012_4,P0012,loss,30,147,22,57,2131
MP0012_5,P0012,loss,10,149,39,57,863
MP0012_6,P0012,win,9,172,34,57,1112
MP0012_7,P0012,win,15,171,33,57,1246
MP0012_8,P0012,loss,31,200,20,57,2040
MP0012_9,P0012,loss,15,218,39,57,1135
MP0012_10,P0012,win,9,180,24,57,1979
MP0012_11,P0012,loss,32,227,27,57,1206
MP0013_0,P0013,loss,27,195,36,107,2029
MP0013_1,P0013,win,44,285,40,107,884
MP0013_2,P0013,loss,31,226,17,107,1836
MP0013_3,P0013,win,34,264,30,107,1016
MP0013_4,P0013,loss,37,237,37,107,1113
MP0013_5,P0013,win,41,237,35,107,1353
MP0013_6,P0013,loss,42,260,39,107,1790
MP0013_7,P0013,win,45,241,23,107,1460
MP0013_8,P0013,win,13,291,23,107,1723
MP0013_9,P0013,loss,44,213,34,107,2168
MP0013_10,P0013,win,39,230,25,107,1172
MP0013_11,P0013,win,24,244,25,107,1372
MP0014_0,P0014,win,20,261,17,640,1294
MP0014_1,P0014,win,43,282,39,640,1292
MP0014_2,P0014,win,39,278,29,640,835
MP0014_3,P0014,win,33,201,37,640,1298
MP0014_4,P0014,loss,31,229,30,640,1933
MP0014_5,P0014,win,43,257,25,640,1520
MP0014_6,P0014,win,27,279,23,640,1272
MP0014_7,P0014,loss,28,205,18,640,1897
MP0014_8,P0014,loss,20,287,21,640,1791
MP0014_9,P0014,loss,41,225,34,640,1379
MP0014_10,P0014,loss,26,202,22,640,1539
MP0014_11,P0014,win,42,212,19,640,1361
MP0015_0,P0015,win,16,203,35,76,1805
MP0015_1,P0015,loss,44,146,24,76,1761
MP0015_2,P0015,win,19,194,16,76,1317
MP0015_3,P0015,loss,15,253,17,76,1620
MP0015_4,P0015,win,11,195,19,76,1105
MP0015_5,P0015,loss,27,236,17,76,1308
MP0015_6,P0015,loss,34,148,34,76,2020
MP0015_7,P0015,loss,41,234,27,76,1722
MP0015_8,P0015,win,45,249,28,76,1425
MP0015_9,P0015,loss,14,205,39,76,1225
MP0015_10,P0015,win,13,213,20,76,1291
MP0015_11,P0015,loss,18,155,15,76,1636
MP0016_0,P0016,win,26,277,37,491,1379
MP0016_1,P0016,loss,12,329,36,491,1278
MP0016_2,P0016,win,45,358,36,491,1205
MP0016_3,P0016,win,22,294,35,491,1105
MP0016_4,P0016,win,17,356,17,491,922
MP0016_5,P0016,loss,44,261,24,491,1699
MP0016_6,P0016,win,27,255,37,491,1624
MP0016_7,P0016,win,42,360,30,491,1696
MP0016_8,P0016,loss,35,250,38,491,1460
MP0016_9,P0016,win,13,317,22,491,2180
MP0016_10,P0016,loss,45,347,15,491,2176
MP0016_11,P0016,win,10,345,39,491,1158
MP0017_0,P0017,win,25,335,20,511,1998
MP0017_1,P0017,loss,39,307,17,511,1762
MP0017_2,P0017,win,28,296,36,511,1014
MP0017_3,P0017,win,34,361,37,511,1814
MP0017_4,P0017,loss,33,288,39,511,1926
MP0017_5,P0017,win,28,256,23,511,1462
MP0017_6,P0017,loss,33,266,31,511,802
MP0017_7,P0017,loss,37,336,28,511,911
MP0017_8,P0017,loss,39,276,35,511,1705
MP0017_9,P0017,win,25,349,32,511,1068
MP0017_10,P0017,win,39,370,18,511,859
MP0017_11,P0017,loss,23,332,37,511,1124
MP0018_0,P0018,win,22,193,18,348,1745
MP0018_1,P0018,loss,17,138,30,348,1397
MP0018_2,P0018,loss,34,188,30,348,1767
MP0018_3,P0018,win,17,154,27,348,1190
MP0018_4,P0018,loss,16,240,17,348,1365
MP0018_5,P0018,loss,34,221,25,348,1839
MP0018_6,P0018,loss,26,157,38,348,1411
MP0018_7,P0018,loss,39,230,19,348,1714
MP0018_8,P0018,win,29,191,32,348,1912
MP0018_9,P0018,win,28,171,21,348,1289
MP0018_10,P0018,win,34,196,16,348,1451
MP0018_11,P0018,win,32,218,27,348,2159
MP0019_0,P0019,loss,16,221,31,841,2008
MP0019_1,P0019,loss,36,200,18,841,1877
MP0019_2,P0019,win,17,274,28,841,2140
MP0019_3,P0019,win,24,177,25,841,2076
MP0019_4,P0019,win,13,246,25,841,2181
MP0019_5,P0019,loss,28,267,35,841,1799
MP0019_6,P0019,loss,12,269,22,841,2092
MP0019_7,P0019,loss,22,245,38,841,985
MP0019_8,P0019,loss,14,213,29,841,1140
MP0019_9,P0019,win,9,246,16,841,1464
MP0019_10,P0019,win,30,259,26,841,1682
MP0019_11,P0019,win,34,176,33,841,2196
MP0020_0,P0020,win,32,187,34,841,2199
MP0020_1,P0020,win,45,196,19,841,1275
MP0020_2,P0020,loss,37,225,23,841,2165
MP0020_3,P0020,loss,37,167,24,841,2187
MP0020_4,P0020,win,36,235,26,841,2003
MP0020_5,P0020,loss,35,204,37,841,1312
MP0020_6,P0020,loss,20,224,27,841,1789
MP0020_7,P0020,win,44,179,26,841,1977
MP0020_8,P0020,loss,26,203,15,841,2148
MP0020_9,P0020,win,44,216,36,841,900
MP0020_10,P0020,loss,39,282,24,841,1271
MP0020_11,P0020,loss,22,243,35,841,1189
MP0021_0,P0021,loss,16,270,35,665,998
MP0021_1,P0021,loss,10,299,24,665,1702
